Season,Y/M/D,Team,VS_Team,SET_Won,SET_Lost,Point1,Point2,Point3,Point4,Point5,VS_Point1,VS_Point2,VS_Point3,VS_Point4,VS_Point5,SCORING_Total ABS,SCORING_Attack Points,SCORING_Block Points,SCORING_Serve Points,SCORING_Errors,ATTACK_Point,ATTACK_Errors,ATTACK_Attempts,ATTACK_Total,BLOCK_Point,BLOCK_Errors,BLOCK_Touches,BLOCK_Total,SERVE_Point,SERVE_Errors,SERVE_Attempts,SERVE_Total,RECEPTION_Successful,RECEPTION_Errors,RECEPTION_Attempts,RECEPTION_Total,DIG_Digs,DIG_Errors,DIG_Total,SET_Point,SET_Errors,SET_Attempts,SET_Total,Match_ID,Won,Attack_Efficiency,SERVE_Efficiency,RECEPTION_Efficiency,BLOCK_Efficiency,DIG_Efficiency,Serve_Efficiency,Reception_Efficiency
2021,2021-06-03,Australia,Poland,0,3,16,10,12,0,0,25,25,25,0,0,22,20,1,1,-,20,20,28,68,1,11,2,14,1,10,28,39,21,11,30,62,8,9,17,8,1,59,68,2021-06-03_Australia_Poland,0,0.0,-0.32142857142857145,0.3333333333333333,-5.0,-0.058823529411764705,-0.32142857142857145,0.3333333333333333
2021,2021-06-03,Poland,Australia,3,0,25,25,25,0,0,16,10,12,0,0,55,31,13,11,-,31,5,17,53,13,9,5,27,11,12,51,74,12,1,16,29,19,7,26,10,0,42,52,2021-06-03_Australia_Poland,1,1.5294117647058822,-0.0196078431372549,0.6875,0.8,0.46153846153846156,-0.0196078431372549,0.6875
2021,2021-06-03,Brazil,France,0,3,37,18,28,0,0,39,25,30,0,0,58,49,5,4,-,49,20,31,100,5,26,21,52,4,15,65,84,23,3,49,75,33,13,57,39,0,60,99,2021-06-03_Brazil_France,0,0.9354838709677419,-0.16923076923076924,0.40816326530612246,-1.0,0.3508771929824561,-0.16923076923076924,0.40816326530612246
2021,2021-06-03,France,Brazil,3,0,39,25,30,0,0,37,18,28,0,0,63,54,6,3,-,54,10,41,105,6,29,13,48,3,18,72,93,22,4,43,69,41,16,64,34,0,69,103,2021-06-03_Brazil_France,1,1.0731707317073171,-0.20833333333333334,0.4186046511627907,-1.7692307692307692,0.390625,-0.20833333333333334,0.4186046511627907
2021,2021-06-03,Bulgaria,Italy,2,3,19,25,13,25,12,25,20,25,23,15,71,60,9,2,-,60,18,39,117,9,24,15,48,2,12,80,94,28,7,56,91,32,19,56,15,0,104,119,2021-06-03_Bulgaria_Italy,0,1.0769230769230769,-0.125,0.375,-1.0,0.23214285714285715,-0.125,0.375
2021,2021-06-03,Italy,Bulgaria,3,2,25,20,25,23,15,19,25,13,25,12,86,69,10,7,-,69,13,37,119,10,21,12,43,7,17,84,108,22,2,58,82,46,21,71,26,0,92,118,2021-06-03_Bulgaria_Italy,1,1.5135135135135136,-0.11904761904761904,0.3448275862068966,-0.9166666666666666,0.352112676056338,-0.11904761904761904,0.3448275862068966
2021,2021-06-03,Canada,Iran,1,3,25,22,22,22,0,22,25,25,25,0,61,51,7,3,-,51,19,37,107,7,25,16,48,3,16,73,92,19,6,51,76,36,15,53,37,1,64,102,2021-06-03_Canada_Iran,0,0.8648648648648649,-0.1780821917808219,0.2549019607843137,-1.125,0.39622641509433965,-0.1780821917808219,0.2549019607843137
2021,2021-06-03,Iran,Canada,3,1,22,25,25,25,0,25,22,22,22,0,75,55,14,6,-,55,14,27,96,14,22,13,49,6,20,70,96,25,3,48,76,29,14,49,35,1,62,98,2021-06-03_Canada_Iran,1,1.5185185185185186,-0.2,0.4583333333333333,-0.6153846153846154,0.30612244897959184,-0.2,0.4583333333333333
2021,2021-06-03,Japan,Serbia,1,3,25,23,22,13,0,18,25,25,25,0,63,54,7,2,-,54,20,41,115,7,13,2,22,2,11,71,84,37,1,39,77,29,24,55,22,3,87,112,2021-06-03_Japan_Serbia,0,0.8292682926829268,-0.1267605633802817,0.9230769230769231,-3.0,0.09090909090909091,-0.1267605633802817,0.9230769230769231
2021,2021-06-03,Serbia,Japan,3,1,18,25,25,25,0,25,23,22,13,0,76,58,17,1,-,58,11,30,99,17,21,8,46,1,15,76,92,34,2,37,73,18,17,36,35,0,66,101,2021-06-03_Japan_Serbia,1,1.5666666666666667,-0.18421052631578946,0.8648648648648649,-0.5,0.027777777777777776,-0.18421052631578946,0.8648648648648649
2021,2021-06-03,Netherlands,Slovenia,0,3,18,15,18,0,0,25,25,25,0,0,35,28,4,3,-,28,16,31,75,4,15,10,29,3,13,36,52,19,6,38,63,21,5,26,7,1,69,77,2021-06-03_Netherlands_Slovenia,0,0.3870967741935484,-0.2777777777777778,0.34210526315789475,-1.1,0.6153846153846154,-0.2777777777777778,0.34210526315789475
2021,2021-06-03,Slovenia,Netherlands,3,0,25,25,25,0,0,18,15,18,0,0,52,39,7,6,-,39,7,23,69,7,11,13,31,6,11,57,74,18,3,18,39,29,8,41,11,2,58,71,2021-06-03_Netherlands_Slovenia,1,1.391304347826087,-0.08771929824561403,0.8333333333333334,-0.3076923076923077,0.5121951219512195,-0.08771929824561403,0.8333333333333334
2021,2021-06-03,Russia,United States,3,1,25,25,17,25,0,22,19,25,19,0,64,56,6,2,-,56,12,39,107,6,19,9,34,2,17,72,91,23,3,43,69,36,11,54,28,1,73,102,2021-06-03_Russia_United States,1,1.1282051282051282,-0.20833333333333334,0.46511627906976744,-1.4444444444444444,0.46296296296296297,-0.20833333333333334,0.46511627906976744
2021,2021-06-03,United States,Russia,1,3,22,19,25,19,0,25,25,17,25,0,60,52,5,3,-,52,16,33,101,5,17,14,36,3,17,66,86,19,2,53,74,34,20,62,35,0,63,98,2021-06-03_Russia_United States,0,1.0909090909090908,-0.21212121212121213,0.32075471698113206,-0.8571428571428571,0.22580645161290322,-0.21212121212121213,0.32075471698113206
2021,2021-06-04,Argentina,Slovenia,0,3,19,22,18,0,0,25,25,25,0,0,39,32,7,0,-,32,15,40,87,7,13,17,37,0,11,49,60,12,4,42,58,34,12,57,26,1,60,87,2021-06-04_Argentina_Slovenia,0,0.425,-0.22448979591836735,0.19047619047619047,-0.35294117647058826,0.38596491228070173,-0.22448979591836735,0.19047619047619047
2021,2021-06-04,Slovenia,Argentina,3,0,25,25,25,0,0,19,22,18,0,0,50,41,5,4,-,41,9,35,85,5,15,25,45,4,16,54,74,10,0,39,49,40,7,51,35,1,51,87,2021-06-04_Argentina_Slovenia,1,0.9142857142857143,-0.2222222222222222,0.2564102564102564,-0.4,0.6470588235294118,-0.2222222222222222,0.2564102564102564
